#Table 3 
#Average Milky Way Extinction Curve
#
#
#x^a	k(lambda - 55)_0^b	s(lambda - 55)^c	sigma [k(lambda - 55)]^d	x^a	$k{(\lambda -55)}_{0}$ ^b	s(lambda - 55)^c	sigma [k(lambda - 55)]^d	
#0.000	-3.020	-1.000	0.000	3.700	3.337	-0.299	0.207	
#K_2MASS	-2.747	-0.842	0.000	3.800	3.586	-0.360	0.225	
#H_2MASS	-2.523	-0.727	0.068	3.900	3.849	-0.430	0.248	
#J_2MASS	-2.247	-0.528	0.069	4.000	4.169	-0.508	0.278	
1.000	-1.761	-0.361	0.184	4.100	4.562	-0.594	0.318	
1.100	-1.572	-0.284	0.100	4.200	5.039	-0.682	0.375	
1.200	-1.300	-0.223	0.085	4.300	5.589	-0.765	0.456	
1.250	-1.217	-0.198	0.072	4.400	6.151	-0.835	0.564	
1.300	-1.073	-0.173	0.072	4.500	6.603	-0.882	0.673	
1.350	-0.976	-0.150	0.061	4.600	6.804	-0.903	0.719	
1.400	-0.870	-0.130	0.053	4.700	6.712	-0.900	0.673	
1.450	-0.751	-0.110	0.052	4.800	6.416	-0.879	0.590	
1.500	-0.630	-0.096	0.048	4.900	6.053	-0.848	0.520	
1.550	-0.511	-0.081	0.041	5.000	5.716	-0.815	0.474	
1.600	-0.408	-0.063	0.044	5.100	5.443	-0.785	0.448	
1.650	-0.320	-0.048	0.037	5.200	5.237	-0.760	0.435	
1.700	-0.221	-0.032	0.033	5.300	5.089	-0.742	0.432	
1.750	-0.133	-0.017	0.030	5.400	4.989	-0.730	0.435	
1.800	-0.049	-0.005	0.022	5.500	4.925	-0.724	0.443	
1.818	0.000	0.000	0.022	5.600	4.889	-0.724	0.455	
1.850	0.072	0.007	0.017	5.700	4.875	-0.728	0.468	
1.900	0.188	0.013	0.021	5.800	4.876	-0.737	0.485	
1.950	0.319	0.012	0.026	5.900	4.891	-0.749	0.502	
2.000	0.438	0.010	0.032	6.000	4.916	-0.764	0.522	
2.050	0.576	0.004	0.034	6.100	4.949	-0.781	0.543	
2.100	0.665	0.003	0.027	6.200	4.993	-0.801	0.565	
2.150	0.744	0.000	0.024	6.300	5.049	-0.823	0.588	
2.200	0.838	0.002	0.017	6.400	5.115	-0.847	0.612	
2.250	0.951	0.001	0.017	6.500	5.190	-0.872	0.638	
2.273	1.000	0.000	0.016	6.600	5.273	-0.899	0.664	
2.300	1.044	-0.000	0.020	6.700	5.365	-0.927	0.691	
2.350	1.113	0.001	0.022	6.800	5.465	-0.956	0.719	
2.400	1.181	0.001	0.027	6.900	5.571	-0.987	0.748	
2.450	1.269	-0.002	0.034	7.000	5.685	-1.018	0.778	
2.500	1.346	0.000	0.041	7.100	5.805	-1.050	0.809	
2.550	1.405	-0.002	0.048	7.200	5.932	-1.083	0.841	
2.600	1.476	-0.002	0.063	7.300	6.065	-1.117	0.874	
2.650	1.558	-0.006	0.075	7.400	6.203	-1.151	0.907	
2.700	1.632	-0.009	0.085	7.500	6.347	-1.186	0.941	
2.750	1.724	-0.012	0.094	7.600	6.497	-1.222	0.976	
2.800	1.791	-0.017	0.103	7.700	6.652	-1.259	1.012	
2.850	1.868	-0.025	0.112	7.800	6.812	-1.296	1.049	
2.900	1.947	-0.029	0.118	7.900	6.978	-1.333	1.087	
2.950	2.008	-0.037	0.122	8.000	7.148	-1.371	1.125	
3.000	2.090	-0.043	0.127	8.100	7.323	-1.410	1.164	
3.100	2.252	-0.065	0.132	8.200	7.502	-1.449	1.204	
3.200	2.406	-0.092	0.139	8.300	7.686	-1.488	1.245	
3.300	2.563	-0.122	0.152	8.400	7.874	-1.528	1.287	
3.400	2.728	-0.160	0.165	8.500	8.067	-1.568	1.329	
3.500	2.911	-0.200	0.177	8.600	8.264	-1.609	1.373	
3.600	3.112	-0.245	0.191	8.700	8.464	-1.650	1.417	
#Notes.
#^a Inverse wavelength in units of mum^-1.
#^b Mean extinction curve in units of ${\text{}}k(\lambda \,-\,55)\equiv {\text{}}E(\lambda \,-\,55)/E(44\mbox{--}55)$ for the case R(55) = 3.02, corresponding to the Milky Way mean value of R(V) = 3.10.
#^c Linear dependence of k(lambda - 55) on R(55) over the range 2.5 <or= R(55) <or= 6.0.
#^d Curve-to-curve standard deviation as a function of wavelength.
